"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"GROTHMAN, GLENN","R","WI06",5000,10119,"$0",0,8313,23432,114,"House","Wisconsin",1385505,-771863,10.6,624,11.4,664
"ALEXANDER, LAMAR","R","TNS2",15100,10193,"$1,867",0,0,23426,115,"Senate","Tennessee",1372506,0,18.4,1246,17.1,1148
"WALTZ, MICHAEL","R","FL06",0,11473,"$0",0,11268,22741,116,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"AMODEI, MARK","R","NV02",11000,11682,"$0",0,0,22682,117,"House","Nevada",22682,-2712765,16.7,508,16.8,498
"SPANO, ROSS","R","FL15",2000,10211,"$0",0,10096,22307,118,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"REED, THOMAS","R","NY23",12950,9212,"$0",0,0,22162,119,"House","New York",167473,-145700,3.7,772,4.4,900
"HOEVEN, JOHN","R","NDS1",15400,6650,"$0",0,0,22050,120,"Senate","North Dakota",39827,0,13.2,103,11.9,90
"FORTENBERRY, JEFF","R","NE01",11950,9678,"$0",0,0,21628,121,"House","Nebraska",163310,0,8.3,160,9.1,171
"BUCSHON, LARRY","R","IN08",10000,11533,"$0",0,0,21533,122,"House","Indiana",4245190,-864,15.3,1016,15,997
"BURGESS, MICHAEL","R","TX26",20150,1265,"$0",0,0,21415,123,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"GOSAR, PAUL","R","AZ04",9950,9427,"$0",0,1475,20852,124,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"WILSON, JOE","R","SC02",21950,449,"$2,094",0,0,20305,125,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"BUCHANAN, VERNON","R","FL16",15450,4646,"$0",0,0,20096,126,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"RISCH, JAMES E","R","IDS1",19850,0,"$0",0,0,19850,127,"Senate","Idaho",465098,0,16.4,280,14.6,242
"FISCHER, DEBRA","R","NES1",5950,12037,"$0",0,1651,19638,128,"Senate","Nebraska",163310,0,8.3,160,9.1,171
"CONAWAY, MICHAEL","R","TX11",18000,1603,"$0",0,0,19603,129,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"LAHOOD, DARIN","R","IL18",5000,13990,"$0",0,0,18990,130,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"LANKFORD, JAMES","R","OKS1",11500,7455,"$0",0,0,18955,131,"Senate","Oklahoma",205293,-5904,17.2,681,19.6,766
"MULLIN, MARKWAYNE","R","OK02",10950,7976,"$0",0,0,18926,132,"House","Oklahoma",205293,-5904,17.2,681,19.6,766
