"Name","Party","Distid","NRA.Direct.Support","NRA.Independent.Support","NRA.Independent.Opposition","NRA.Indep.Expend.for.Opponent","NRA.Indep.Expend.against.opponent","NRA.Grand.Total","Rank","chamber","state","NRA.Grand.Total.Supporting","NRA.Grand.Total.Opposing","2017 Death Rate (per 100k people)","2017 Total Deaths","2016 Death Rate","2016 Total Deaths"
"SCHIFF, ADAM","D","CA28",0,0,"$2,191",580,0,-2771,439,"House","California",214295,-285808,7.9,3184,7.9,3184
"CROW, JASON","D","CO06",13,0,"$1,321",1473,0,-2781,440,"House","Colorado",4865120,-935216,13.4,779,14.3,812
"DURBIN, RICHARD","D","ILS1",0,0,"$0",3470,0,-3470,441,"Senate","Illinois",191089,-71872,12.1,1543,11.7,1490
"LAMB, CONOR","D","PA17",0,0,"$1,171",2597,0,-3768,442,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"YARMUTH, JOHN","D","KY03",0,0,"$0",4018,0,-4018,443,"House","Kentucky",1504727,-4018,16.2,730,17.5,772
"RUIZ, RAUL","D","CA36",0,0,"$0",4320,0,-4320,444,"House","California",214295,-285808,7.9,3184,7.9,3184
"GILLIBRAND, KIRSTEN","D","NYS1",0,4259,"$0",9232,0,-4973,445,"Senate","New York",167473,-145700,3.7,772,4.4,900
"GRIJALVA, RAUL","D","AZ03",0,0,"$0",5233,0,-5233,446,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"CRAIG, ANGELA","D","MN02",0,0,"$616",4804,0,-5420,447,"House","Minnesota",286298,-191892,8.2,465,7.6,432
"PAPPAS, CHRIS","D","NH01",0,0,"$0",5718,0,-5718,448,"House","New Hampshire",0,-734351,10.4,146,9.3,132
"CARDIN, BENJAMIN","D","MDS1",0,0,"$315",5410,0,-5725,449,"Senate","Maryland",27447,-6614,12.3,742,11.9,707
"HORN, KENDRA","D","OK05",0,0,"$0",5904,0,-5904,450,"House","Oklahoma",205293,-5904,17.2,681,19.6,766
"WARREN, ELIZABETH","D","MAS1",0,0,"$3,927",2284,0,-6211,451,"Senate","Massachusetts",555,-41739,3.7,262,3.4,242
"PINGREE, CHELLIE","D","ME01",0,0,"$0",7920,1701,-6219,452,"House","Maine",18099,-180796,11.7,172,8.3,123
"DUCKWORTH, TAMMY","D","ILS2",0,0,"$0",6422,0,-6422,453,"Senate","Illinois",191089,-71872,12.1,1543,11.7,1490
"HEINRICH, MARTIN","D","NMS1",2000,0,"$0",8460,0,-6460,454,"Senate","New Mexico",3500,-82256,18.5,394,18.1,383
"GARAMENDI, JOHN","D","CA03",0,0,"$0",7030,0,-7030,455,"House","California",214295,-285808,7.9,3184,7.9,3184
"CISNEROS, GIL","D","CA39",0,0,"$4,489",3085,0,-7574,456,"House","California",214295,-285808,7.9,3184,7.9,3184
"PETERS, SCOTT","D","CA52",0,0,"$0",7846,0,-7846,457,"House","California",214295,-285808,7.9,3184,7.9,3184
"HIGGINS, BRIAN","D","NY26",5000,0,"$0",13174,0,-8174,458,"House","New York",167473,-145700,3.7,772,4.4,900
"FOSTER, BILL","D","IL11",0,0,"$0",9859,0,-9859,459,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"SCHRIER, KIM","D","WA08",0,0,"$1,735",8670,0,-10405,460,"House","Washington",152540,-1001968,11.1,849,9,686
"BROWNLEY, JULIA","D","CA26",0,0,"$0",10572,0,-10572,461,"House","California",214295,-285808,7.9,3184,7.9,3184
"MCADAMS, BEN","D","UT04",0,0,"$4,979",5977,0,-10956,462,"House","Utah",13691980,-10956,14,410,12.9,370
"HARDER, JOSH","D","CA10",13,0,"$5,441",5556,0,-10984,463,"House","California",214295,-285808,7.9,3184,7.9,3184
"PORTER, KATIE","D","CA45",0,0,"$5,875",5991,0,-11866,464,"House","California",214295,-285808,7.9,3184,7.9,3184
"AGUILAR, PETER","D","CA31",0,0,"$0",12268,0,-12268,465,"House","California",214295,-285808,7.9,3184,7.9,3184
"ABRAHAM, RALPH","R","LA05",3000,2974,"$0",18510,0,-12536,466,"House","Louisiana",3142993,-12536,21.7,1008,21.3,987
"BERA, AMI","D","CA07",0,0,"$0",12730,0,-12730,467,"House","California",214295,-285808,7.9,3184,7.9,3184
"DAVIDS, SHARICE","D","KS03",0,0,"$6,335",7053,0,-13388,468,"House","Kansas",1712474,-13388,16,466,13.4,383
"ALLRED, COLIN","D","TX32",13,0,"$7,251",6447,0,-13685,469,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"HILL, KATIE","D","CA25",0,0,"$6,842",6973,0,-13815,470,"House","California",214295,-285808,7.9,3184,7.9,3184
"COURTNEY, JOE","D","CT02",0,0,"$0",13852,0,-13852,471,"House","Connecticut",0,-181011,5.1,188,4.6,172
"SCHUMER, CHUCK","D","NYS2",0,0,"$0",15184,0,-15184,472,"Senate","New York",167473,-145700,3.7,772,4.4,900
"CUNNINGHAM, JOE","D","SC01",0,0,"$7,678",7819,0,-15497,473,"House","South Carolina",135064,-15497,17.7,893,17.7,891
"SMITH, TINA","D","MNS1",0,0,"$0",15696,0,-15696,474,"Senate","Minnesota",286298,-191892,8.2,465,7.6,432
"LURIA, ELAINE","D","VA02",0,0,"$7,888",8039,0,-15927,475,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"MCCOLLUM, BETTY","D","MN04",0,0,"$427",16093,0,-16520,476,"House","Minnesota",286298,-191892,8.2,465,7.6,432
"O'HALLERAN, THOMAS","D","AZ01",0,0,"$0",19963,0,-19963,477,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"UNDERWOOD, LAUREN","D","IL14",0,0,"$10,172",10335,0,-20507,478,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"WEXTON, JENNIFER","D","VA10",13,0,"$6,226",15461,0,-21674,479,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"KIM, ANDY","D","NJ03",0,0,"$15,478",7374,0,-22852,480,"House","New Jersey",0,-73405,5.3,478,5.5,485
"DEMINGS, VALDEZ","D","FL10",0,0,"$93",22976,0,-23069,481,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"SPANBERGER, ABIGAIL","D","VA07",0,0,"$11,668",11862,0,-23530,482,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"BOOKER, CORY","D","NJS2",0,0,"$23,641",0,0,-23641,483,"Senate","New Jersey",0,-73405,5.3,478,5.5,485
"TORRES-SMALL, XOCHITL","D","NM02",0,0,"$10,038",13604,0,-23642,484,"House","New Mexico",3500,-82256,18.5,394,18.1,383
"GOTTHEIMER, JOSH","D","NJ05",0,0,"$0",23961,0,-23961,485,"House","New Jersey",0,-73405,5.3,478,5.5,485
"CONNOLLY, GERRY","D","VA11",0,0,"$770",23356,0,-24126,486,"House","Virginia",115492,-1290875,11.9,1041,12.1,1049
"FINKENAUER, ABBY","D","IA01",0,0,"$12,863",13058,0,-25921,487,"House","Iowa",3410355,-148999,9,293,9.2,288
"LAWSON, ALFRED","D","FL05",0,0,"$92",27448,0,-27540,488,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"BUSTOS, CHERI","D","IL17",0,0,"$0",28489,0,-28489,489,"House","Illinois",191089,-71872,12.1,1543,11.7,1490
"GOLDEN, JARED","D","ME02",0,0,"$13,778",15625,0,-29403,490,"House","Maine",18099,-180796,11.7,172,8.3,123
"RESCHENTHALER, GUY","R","PA14",2000,1605,"$0",33150,0,-29545,491,"House","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"DELGADO, ANTONIO","D","NY19",0,0,"$14,761",15117,0,-29878,492,"House","New York",167473,-145700,3.7,772,4.4,900
"KEATING, WILLIAM","D","MA09",0,0,"$0",34202,0,-34202,493,"House","Massachusetts",555,-41739,3.7,262,3.4,242
"COONS, CHRISTOPHER","D","DES2",0,26000,"$53,061",7702,0,-34763,494,"Senate","Delaware",0,-97616,11.7,111,11,111
"KIRKPATRICK, ANN","D","AZ02",0,0,"$5,851",40583,0,-46434,495,"House","Arizona",425062,-319855,15.8,1134,15.2,1094
"PETERS, GARY","D","MIS1",0,0,"$511",48344,0,-48855,496,"Senate","Michigan",186994,-984050,11.3,1138,12.3,1230
"UDALL, TOM","D","NMS2",0,0,"$0",52154,0,-52154,497,"Senate","New Mexico",3500,-82256,18.5,394,18.1,383
"MURPHY, STEPHANIE","D","FL07",0,0,"$0",59917,0,-59917,498,"House","Florida",3542202,-111412,12.4,2724,12.6,2704
"AXNE, CYNTHIA","D","IA03",0,0,"$47,281",12778,0,-60059,499,"House","Iowa",3410355,-148999,9,293,9.2,288
"LARSEN, RICK","D","WA02",0,0,"$496",62049,0,-62545,500,"House","Washington",152540,-1001968,11.1,849,9,686
"CARPER, THOMAS","D","DES1",0,0,"$0",62853,0,-62853,501,"Senate","Delaware",0,-97616,11.7,111,11,111
"LOEBSACK, DAVID","D","IA02",0,0,"$0",63019,0,-63019,502,"House","Iowa",3410355,-148999,9,293,9.2,288
"BLUMENTHAL, RICHARD","D","CTS2",0,0,"$55,221",9096,0,-64317,503,"Senate","Connecticut",0,-181011,5.1,188,4.6,172
"PERLMUTTER, ED","D","CO07",0,0,"$0",64411,0,-64411,504,"House","Colorado",4865120,-935216,13.4,779,14.3,812
"TITUS, DINA","D","NV01",0,0,"$15,613",58941,0,-74554,505,"House","Nevada",22682,-2712765,16.7,508,16.8,498
"JONES, DOUG","D","ALS1",0,0,"$74,759",0,0,-74759,506,"Senate","Alabama",399197,-74830,22.9,1124,21.5,1046
"COSTA, JIM","D","CA16",0,0,"$0",81223,0,-81223,507,"House","California",214295,-285808,7.9,3184,7.9,3184
"BRINDISI, ANTHONY","D","NY22",0,0,"$11,991",72224,0,-84215,508,"House","New York",167473,-145700,3.7,772,4.4,900
"MCNERNEY, JERRY","D","CA09",0,0,"$199",86518,0,-86717,509,"House","California",214295,-285808,7.9,3184,7.9,3184
"HECK, DENNY","D","WA10",0,0,"$0",91801,0,-91801,510,"House","Washington",152540,-1001968,11.1,849,9,686
"MURPHY, CHRISTOPHER","D","CTS1",0,0,"$85,074",16790,0,-101864,511,"Senate","Connecticut",0,-181011,5.1,188,4.6,172
"ROSEN, JACKLYN","D","NVS1",13,0,"$29,773",77326,0,-107086,512,"Senate","Nevada",22682,-2712765,16.7,508,16.8,498
"MERKLEY, JEFF","D","ORS1",0,0,"$0",112219,0,-112219,513,"Senate","Oregon",59633,-112595,12.1,528,11.9,513
"HASSAN, MAGGIE","D","NHS1",0,0,"$48,098",91013,0,-139111,514,"Senate","New Hampshire",0,-734351,10.4,146,9.3,132
"FLETCHER, ELIZABETH","D","TX07",13,0,"$4,779",137838,0,-142604,515,"House","Texas",650742,-158009,12.4,3513,12.1,3353
"KING, ANGUS","I","MES1",0,0,"$0",145174,0,-145174,516,"Senate","Maine",18099,-180796,11.7,172,8.3,123
"KLOBUCHAR, AMY","D","MNS2",0,0,"$0",152362,0,-152362,517,"Senate","Minnesota",286298,-191892,8.2,465,7.6,432
"KUSTER, ANN","D","NH02",0,0,"$0",181580,0,-181580,518,"House","New Hampshire",0,-734351,10.4,146,9.3,132
"CANTWELL, MARIA","D","WAS1",0,0,"$496",210400,0,-210896,519,"Senate","Washington",152540,-1001968,11.1,849,9,686
"SINEMA, KYRSTEN","D","AZS2",0,0,"$93,492",154733,0,-248225,520,"Senate","Arizona",425062,-319855,15.8,1134,15.2,1094
"CASEY, BOB","D","PAS2",0,0,"$20,403",328986,0,-349389,521,"Senate","Pennsylvania",1799798,-386266,12.5,1636,12,1555
"SHAHEEN, JEANNE","D","NHS2",0,0,"$251,409",156533,0,-407942,522,"Senate","New Hampshire",0,-734351,10.4,146,9.3,132
"MANCHIN, JOE","D","WVS1",11450,0,"$215,102",256048,0,-459700,523,"Senate","West Virginia",388360,-459700,18.6,348,17.5,332
"WARNER, MARK","D","VAS2",0,0,"$204,731",273749,0,-478480,524,"Senate","Virginia",115492,-1290875,11.9,1041,12.1,1049
"MURRAY, PATTY","D","WAS2",0,0,"$6,704",614798,0,-621502,525,"Senate","Washington",152540,-1001968,11.1,849,9,686
"KAINE, TIM","D","VAS1",0,0,"$612,441",114202,0,-726643,526,"Senate","Virginia",115492,-1290875,11.9,1041,12.1,1049
"TESTER, JON","D","MTS1",0,0,"$522,949",211550,0,-734499,527,"Senate","Montana",489678,-734499,22.5,244,18.9,194
"BALDWIN, TAMMY","D","WIS1",0,0,"$387,009",384854,0,-771863,528,"Senate","Wisconsin",1385505,-771863,10.6,624,11.4,664
"BENNET, MICHAEL","D","COS1",0,0,"$38,813",829211,0,-868024,529,"Senate","Colorado",4865120,-935216,13.4,779,14.3,812
"STABENOW, DEBORAH","D","MIS2",0,0,"$590",932364,0,-932954,530,"Senate","Michigan",186994,-984050,11.3,1138,12.3,1230
"BROWN, SHERROD","D","OHS1",0,0,"$907,134",248810,0,-1155944,531,"Senate","Ohio",3569434,-1156830,13.7,1589,12.9,1524
"CORTEZ-MASTO, CATHERINE","D","NVS2",0,0,"$2,422,829",106476,0,-2529305,532,"Senate","Nevada",22682,-2712765,16.7,508,16.8,498
